Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
90	03/25/26 18:02:02.290	03/25/26 18:02:02.290	34.7744	EMG	TTL 3: Rise
91	03/25/26 18:02:03.291	03/25/26 18:02:03.291	35.7763	EEG1	TTL 3: Fall
92	03/25/26 18:02:03.291	03/25/26 18:02:03.291	35.7763	EEG2	TTL 3: Fall
93	03/25/26 18:02:03.291	03/25/26 18:02:03.291	35.7763	EMG	TTL 3: Fall
94	03/25/26 18:02:06.289	03/25/26 18:02:06.289	38.7737	EEG1	TTL 3: Rise
95	03/25/26 18:02:06.289	03/25/26 18:02:06.289	38.7737	EEG2	TTL 3: Rise
96	03/25/26 18:02:06.289	03/25/26 18:02:06.289	38.7737	EMG	TTL 3: Rise
97	03/25/26 18:02:07.291	03/25/26 18:02:07.291	39.7754	EEG1	TTL 3: Fall
98	03/25/26 18:02:07.291	03/25/26 18:02:07.291	39.7754	EEG2	TTL 3: Fall
99	03/25/26 18:02:07.291	03/25/26 18:02:07.291	39.7754	EMG	TTL 3: Fall
100	03/25/26 18:02:08.292	03/25/26 18:02:08.292	40.7773	EEG1	TTL 3: Rise
101	03/25/26 18:02:08.292	03/25/26 18:02:08.292	40.7773	EEG2	TTL 3: Rise
102	03/25/26 18:02:08.292	03/25/26 18:02:08.292	40.7773	EMG	TTL 3: Rise
103	03/25/26 18:02:09.292	03/25/26 18:02:09.292	41.7766	EEG1	TTL 3: Fall
104	03/25/26 18:02:09.292	03/25/26 18:02:09.292	41.7766	EEG2	TTL 3: Fall
105	03/25/26 18:02:09.292	03/25/26 18:02:09.292	41.7766	EMG	TTL 3: Fall
106	03/25/26 18:02:12.293	03/25/26 18:02:12.293	44.7778	EEG1	TTL 3: Rise
107	03/25/26 18:02:12.293	03/25/26 18:02:12.293	44.7778	EEG2	TTL 3: Rise
108	03/25/26 18:02:12.293	03/25/26 18:02:12.293	44.7778	EMG	TTL 3: Rise
109	03/25/26 18:02:13.293	03/25/26 18:02:13.293	45.7776	EEG1	TTL 3: Fall
110	03/25/26 18:02:13.293	03/25/26 18:02:13.293	45.7776	EEG2	TTL 3: Fall
111	03/25/26 18:02:13.293	03/25/26 18:02:13.293	45.7776	EMG	TTL 3: Fall
112	03/25/26 18:02:14.295	03/25/26 18:02:14.295	46.7799	EEG1	TTL 3: Rise
113	03/25/26 18:02:14.295	03/25/26 18:02:14.295	46.7799	EEG2	TTL 3: Rise
114	03/25/26 18:02:14.295	03/25/26 18:02:14.295	46.7799	EMG	TTL 3: Rise
115	03/25/26 18:02:15.297	03/25/26 18:02:15.297	47.7823	EEG1	TTL 3: Fall
116	03/25/26 18:02:15.297	03/25/26 18:02:15.297	47.7823	EEG2	TTL 3: Fall
117	03/25/26 18:02:15.297	03/25/26 18:02:15.297	47.7823	EMG	TTL 3: Fall
118	03/25/26 18:02:18.301	03/25/26 18:02:18.301	50.7855	EEG1	TTL 3: Rise
119	03/25/26 18:02:18.301	03/25/26 18:02:18.301	50.7855	EEG2	TTL 3: Rise
120	03/25/26 18:02:18.301	03/25/26 18:02:18.301	50.7855	EMG	TTL 3: Rise
121	03/25/26 18:02:19.301	03/25/26 18:02:19.301	51.7854	EEG1	TTL 3: Fall
122	03/25/26 18:02:19.301	03/25/26 18:02:19.301	51.7854	EEG2	TTL 3: Fall
123	03/25/26 18:02:19.301	03/25/26 18:02:19.301	51.7854	EMG	TTL 3: Fall
124	03/25/26 18:02:20.302	03/25/26 18:02:20.302	52.7871	EEG1	TTL 3: Rise
125	03/25/26 18:02:20.302	03/25/26 18:02:20.302	52.7871	EEG2	TTL 3: Rise
126	03/25/26 18:02:20.302	03/25/26 18:02:20.302	52.7871	EMG	TTL 3: Rise
127	03/25/26 18:02:21.304	03/25/26 18:02:21.304	53.7887	EEG1	TTL 3: Fall
128	03/25/26 18:02:21.304	03/25/26 18:02:21.304	53.7887	EEG2	TTL 3: Fall
129	03/25/26 18:02:21.304	03/25/26 18:02:21.304	53.7887	EMG	TTL 3: Fall
130	03/25/26 18:02:21.672	03/25/26 18:02:21.672	54.1568	EEG1	TTL 3: Rise
131	03/25/26 18:02:21.672	03/25/26 18:02:21.672	54.1568	EEG2	TTL 3: Rise
132	03/25/26 18:02:21.672	03/25/26 18:02:21.672	54.1568	EMG	TTL 3: Rise
133	03/25/26 18:02:21.712	03/25/26 18:02:21.712	54.1969	EEG1	TTL 3: Fall
134	03/25/26 18:02:21.712	03/25/26 18:02:21.712	54.1969	EEG2	TTL 3: Fall
135	03/25/26 18:02:21.712	03/25/26 18:02:21.712	54.1969	EMG	TTL 3: Fall
136	03/25/26 18:02:22.954	03/25/26 18:02:22.954	55.4389	EEG1	TTL 3: Rise
137	03/25/26 18:02:22.954	03/25/26 18:02:22.954	55.4389	EEG2	TTL 3: Rise
138	03/25/26 18:02:22.954	03/25/26 18:02:22.954	55.4389	EMG	TTL 3: Rise
139	03/25/26 18:02:23.953	03/25/26 18:02:23.953	56.4384	EEG1	TTL 3: Fall
140	03/25/26 18:02:23.953	03/25/26 18:02:23.953	56.4384	EEG2	TTL 3: Fall
141	03/25/26 18:02:23.953	03/25/26 18:02:23.953	56.4384	EMG	TTL 3: Fall
142	03/25/26 18:02:24.955	03/25/26 18:02:24.955	57.4404	EEG1	TTL 3: Rise
143	03/25/26 18:02:24.955	03/25/26 18:02:24.955	57.4404	EEG2	TTL 3: Rise
144	03/25/26 18:02:24.955	03/25/26 18:02:24.955	57.4404	EMG	TTL 3: Rise
145	03/25/26 18:02:25.957	03/25/26 18:02:25.957	58.4423	EEG1	TTL 3: Fall
146	03/25/26 18:02:25.957	03/25/26 18:02:25.957	58.4423	EEG2	TTL 3: Fall
147	03/25/26 18:02:25.957	03/25/26 18:02:25.957	58.4423	EMG	TTL 3: Fall
148	03/25/26 18:02:27.137	03/25/26 18:02:27.137	59.6222	EEG1	TTL 3: Rise
149	03/25/26 18:02:27.137	03/25/26 18:02:27.137	59.6222	EEG2	TTL 3: Rise
150	03/25/26 18:02:27.137	03/25/26 18:02:27.137	59.6222	EMG	TTL 3: Rise
151	03/25/26 18:02:28.137	03/25/26 18:02:28.137	60.6217	EEG1	TTL 3: Fall
152	03/25/26 18:02:28.137	03/25/26 18:02:28.137	60.6217	EEG2	TTL 3: Fall
